clause_id,leader_model
1,checkpoints/llama3.1-8b-hard-panel
2,checkpoints/llama3.1-8b-hard-panel
3,checkpoints/llama3.1-8b-soft-panel-square
4,checkpoints/llama3.1-8b-hard-panel
5,checkpoints/llama3.1-8b-hard-panel
6,checkpoints/llama3.1-8b-full-prism
7,checkpoints/llama3.1-8b-hard-panel
8,checkpoints/llama3.1-8b-soft-panel-sqrt
9,checkpoints/llama3.1-8b-hard-panel
10,checkpoints/llama3.1-8b-hard-panel
11,checkpoints/llama3.1-8b-hard-panel
12,checkpoints/llama3.1-8b-hard-panel
13,checkpoints/llama3.1-8b-soft-panel
14,checkpoints/llama3.1-8b-soft-panel-square
15,checkpoints/llama3.1-8b-hard-panel
16,checkpoints/llama3.1-8b-soft-panel-sqrt
17,checkpoints/llama3.1-8b-hard-panel
18,checkpoints/llama3.1-8b-hard-panel
19,checkpoints/llama3.1-8b-soft-panel-sqrt
20,checkpoints/llama3.1-8b-hard-panel
21,checkpoints/llama3.1-8b-soft-panel-square
22,checkpoints/llama3.1-8b-hard-panel
23,checkpoints/llama3.1-8b-hard-panel
24,checkpoints/llama3.1-8b-hard-panel
25,checkpoints/llama3.1-8b-hard-panel
26,checkpoints/llama3.1-8b-soft-panel-square
27,checkpoints/llama3.1-8b-hard-panel
28,checkpoints/llama3.1-8b-hard-panel
29,checkpoints/llama3.1-8b-soft-panel-sqrt
30,checkpoints/llama3.1-8b-hard-panel
31,checkpoints/llama3.1-8b-hard-panel
32,checkpoints/llama3.1-8b-soft-panel-clipped
33,checkpoints/llama3.1-8b-soft-panel-square
34,checkpoints/llama3.1-8b-soft-panel-square
35,checkpoints/llama3.1-8b-soft-panel-square
36,checkpoints/llama3.1-8b-soft-panel-clipped
37,checkpoints/llama3.1-8b-hard-panel
38,checkpoints/llama3.1-8b-hard-panel
39,checkpoints/llama3.1-8b-hard-panel
40,checkpoints/llama3.1-8b-hard-panel
41,checkpoints/llama3.1-8b-hard-panel
42,checkpoints/llama3.1-8b-hard-panel
43,checkpoints/llama3.1-8b-hard-panel
44,checkpoints/llama3.1-8b-hard-panel
45,checkpoints/llama3.1-8b-hard-panel
46,checkpoints/llama3.1-8b-soft-panel-sqrt
47,checkpoints/llama3.1-8b-hard-panel
48,checkpoints/llama3.1-8b-hard-panel
49,checkpoints/llama3.1-8b-soft-panel
50,checkpoints/llama3.1-8b-hard-panel
51,checkpoints/llama3.1-8b-soft-panel
52,checkpoints/llama3.1-8b-hard-panel
53,checkpoints/llama3.1-8b-hard-panel
54,checkpoints/llama3.1-8b-hard-panel
55,checkpoints/llama3.1-8b-hard-panel
56,checkpoints/llama3.1-8b-hard-panel
57,checkpoints/llama3.1-8b-hard-panel
58,checkpoints/llama3.1-8b-hard-panel
59,checkpoints/llama3.1-8b-hard-panel
60,checkpoints/llama3.1-8b-hard-panel
61,checkpoints/llama3.1-8b-soft-panel-sqrt
62,checkpoints/llama3.1-8b-hard-panel
63,checkpoints/llama3.1-8b-soft-panel-square
64,checkpoints/llama3.1-8b-hard-panel
65,checkpoints/llama3.1-8b-hard-panel
66,checkpoints/llama3.1-8b-hard-panel
67,checkpoints/llama3.1-8b-hard-panel
68,checkpoints/llama3.1-8b-hard-panel
69,checkpoints/llama3.1-8b-hard-panel
70,checkpoints/llama3.1-8b-hard-panel
71,checkpoints/llama3.1-8b-hard-panel
72,checkpoints/llama3.1-8b-full-prism
73,checkpoints/llama3.1-8b-hard-panel
74,checkpoints/llama3.1-8b-soft-panel-clipped
75,checkpoints/llama3.1-8b-hard-panel
