question_id,clause_id,n_models,n_judges,mean_kendall_tau,min_kendall_tau,max_kendall_tau,top1_winner,top1_agreement,top1_margin
1:0,1,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
1:1,1,7,5,1.000000,1.000000,1.000000,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
1:10,1,7,5,0.580952,0.047619,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:11,1,7,5,0.847619,0.714286,1.000000,checkpoints/llama3.2-1b-soft-panel,0.600000,0.200000
1:12,1,7,5,0.923810,0.809524,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:13,1,7,5,0.733333,0.523810,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:14,1,7,5,0.371429,0.047619,1.000000,checkpoints/llama3.2-1b-adversary-soft,0.400000,0.000000
1:15,1,7,5,0.752381,0.428571,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:16,1,7,5,0.790476,0.619048,1.000000,checkpoints/llama3.2-1b-soft-panel,0.600000,0.200000
1:17,1,7,5,0.771429,0.619048,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:18,1,7,5,0.409524,-0.047619,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
1:19,1,7,5,0.619048,0.333333,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:2,1,7,5,0.580952,0.142857,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:20,1,7,5,0.600000,0.142857,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:21,1,7,5,0.695238,0.428571,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
1:22,1,7,5,0.942857,0.904762,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:23,1,7,5,0.580952,0.142857,0.904762,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
1:24,1,7,5,0.580952,0.142857,0.904762,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:25,1,7,5,0.580952,0.238095,0.809524,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:26,1,7,5,0.790476,0.619048,0.904762,meta-llama/Llama-3.2-1B,0.800000,0.600000
1:27,1,7,5,0.466667,0.142857,0.809524,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.200000
1:28,1,7,5,0.733333,0.523810,0.904762,meta-llama/Llama-3.2-1B,0.400000,0.000000
1:29,1,7,5,0.714286,0.428571,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:3,1,7,5,0.828571,0.714286,0.904762,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:30,1,7,5,0.790476,0.619048,1.000000,checkpoints/llama3.2-1b-us-rep,0.600000,0.400000
1:31,1,7,5,0.733333,0.523810,0.904762,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
1:32,1,7,5,0.771429,0.619048,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:33,1,7,5,0.809524,0.619048,1.000000,meta-llama/Llama-3.2-1B,0.800000,0.600000
1:34,1,7,5,0.771429,0.619048,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.200000
1:35,1,7,5,0.390476,-0.047619,0.714286,checkpoints/llama3.2-1b-adversary-hard,0.400000,0.200000
1:36,1,7,5,0.828571,0.714286,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:37,1,7,5,0.714286,0.428571,0.904762,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
1:38,1,7,5,0.904762,0.809524,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
1:39,1,7,5,0.619048,0.238095,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:4,1,7,5,0.828571,0.714286,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
1:5,1,7,5,0.409524,0.047619,0.904762,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
1:6,1,7,5,0.314286,-0.333333,0.714286,checkpoints/llama3.2-1b-us-rep,0.400000,0.200000
1:7,1,7,5,0.676190,0.428571,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
1:8,1,7,5,1.000000,1.000000,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
1:9,1,7,5,0.409524,-0.238095,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.400000,0.000000
2:0,2,7,5,0.771429,0.619048,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:1,2,7,5,0.657143,0.333333,0.904762,meta-llama/Llama-3.2-1B,0.800000,0.600000
2:10,2,7,5,0.752381,0.523810,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:11,2,7,5,0.866667,0.714286,1.000000,checkpoints/llama3.2-1b-hard-panel,0.800000,0.600000
2:12,2,7,5,0.257143,-0.523810,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.400000,0.200000
2:13,2,7,5,0.714286,0.428571,0.904762,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
2:14,2,7,5,0.733333,0.619048,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
2:15,2,7,5,0.542857,0.238095,0.904762,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
2:16,2,7,5,0.638095,0.333333,0.904762,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
2:17,2,7,5,0.676190,0.428571,0.809524,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
2:18,2,7,5,0.371429,-0.428571,0.904762,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
2:19,2,7,5,0.847619,0.714286,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
2:2,2,7,5,0.276190,-0.428571,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.200000,0.000000
2:20,2,7,5,0.828571,0.714286,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
2:21,2,7,5,0.600000,0.142857,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:22,2,7,5,0.580952,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-hard,0.800000,0.600000
2:23,2,7,5,0.733333,0.523810,0.904762,checkpoints/llama3.2-1b-adversary-hard,0.600000,0.200000
2:24,2,7,5,0.733333,0.619048,0.904762,checkpoints/llama3.2-1b-soft-panel,0.600000,0.200000
2:25,2,7,5,0.752381,0.523810,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
2:26,2,7,5,0.238095,-0.142857,0.714286,meta-llama/Llama-3.2-1B,0.200000,0.000000
2:27,2,7,5,0.714286,0.333333,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
2:28,2,7,5,0.504762,0.142857,0.904762,checkpoints/llama3.2-1b-us-rep,1.000000,1.000000
2:29,2,7,5,0.771429,0.619048,0.904762,checkpoints/llama3.2-1b-adversary-soft,0.600000,0.200000
2:3,2,7,5,0.504762,0.142857,1.000000,checkpoints/llama3.2-1b-us-rep,0.600000,0.200000
2:30,2,7,5,0.676190,0.523810,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:31,2,7,5,0.771429,0.523810,1.000000,checkpoints/llama3.2-1b-soft-panel,0.800000,0.600000
2:32,2,7,5,0.504762,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
2:33,2,7,5,0.752381,0.523810,0.904762,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:34,2,7,5,0.828571,0.619048,1.000000,checkpoints/llama3.2-1b-hard-panel,0.600000,0.200000
2:35,2,7,5,0.695238,0.428571,1.000000,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
2:36,2,7,5,0.885714,0.809524,1.000000,meta-llama/Llama-3.2-1B,1.000000,1.000000
2:37,2,7,5,0.828571,0.714286,0.904762,checkpoints/llama3.2-1b-us-rep,0.800000,0.600000
2:38,2,7,5,0.752381,0.619048,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
2:39,2,7,5,0.733333,0.428571,1.000000,checkpoints/llama3.2-1b-full-prism,0.600000,0.200000
2:4,2,7,5,-0.123810,-0.904762,1.000000,meta-llama/Llama-3.2-1B,0.600000,0.200000
2:5,2,7,5,0.733333,0.619048,0.904762,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
2:6,2,7,5,0.695238,0.523810,0.809524,checkpoints/llama3.2-1b-hard-panel,1.000000,1.000000
2:7,2,7,5,0.542857,0.238095,1.000000,checkpoints/llama3.2-1b-adversary-hard,1.000000,1.000000
2:8,2,7,5,0.504762,0.142857,0.809524,checkpoints/llama3.2-1b-hard-panel,0.400000,0.000000
2:9,2,7,5,0.885714,0.809524,1.000000,checkpoints/llama3.2-1b-soft-panel,1.000000,1.000000
