clause_id,leader_model
1,meta-llama/Llama-3.1-8B
2,checkpoints/community-alignment/llama3.1-8b-hard-us
3,checkpoints/community-alignment/llama3.1-8b-full-us
4,checkpoints/community-alignment/llama3.1-8b-full-global
5,checkpoints/community-alignment/llama3.1-8b-full-us
6,checkpoints/community-alignment/llama3.1-8b-full-global
7,meta-llama/Llama-3.1-8B
8,checkpoints/community-alignment/llama3.1-8b-full-us
9,checkpoints/community-alignment/llama3.1-8b-full-global
10,checkpoints/community-alignment/llama3.1-8b-full-global
11,checkpoints/community-alignment/llama3.1-8b-soft-us
12,checkpoints/community-alignment/llama3.1-8b-full-us
13,checkpoints/community-alignment/llama3.1-8b-soft-us
14,checkpoints/community-alignment/llama3.1-8b-hard-us
15,checkpoints/community-alignment/llama3.1-8b-full-us
16,checkpoints/community-alignment/llama3.1-8b-full-us
17,checkpoints/community-alignment/llama3.1-8b-full-global
18,meta-llama/Llama-3.1-8B
19,checkpoints/community-alignment/llama3.1-8b-full-us
20,checkpoints/community-alignment/llama3.1-8b-full-us
21,checkpoints/community-alignment/llama3.1-8b-full-us
22,meta-llama/Llama-3.1-8B
23,checkpoints/community-alignment/llama3.1-8b-full-us
24,meta-llama/Llama-3.1-8B
25,checkpoints/community-alignment/llama3.1-8b-soft-us
26,checkpoints/community-alignment/llama3.1-8b-full-us
27,checkpoints/community-alignment/llama3.1-8b-full-global
28,checkpoints/community-alignment/llama3.1-8b-soft-us
29,checkpoints/community-alignment/llama3.1-8b-soft-us
30,meta-llama/Llama-3.1-8B
31,checkpoints/community-alignment/llama3.1-8b-soft-us
32,checkpoints/community-alignment/llama3.1-8b-full-global
33,checkpoints/community-alignment/llama3.1-8b-full-us
34,checkpoints/community-alignment/llama3.1-8b-full-us
35,checkpoints/community-alignment/llama3.1-8b-full-us
36,checkpoints/community-alignment/llama3.1-8b-full-us
37,checkpoints/community-alignment/llama3.1-8b-soft-us
38,checkpoints/community-alignment/llama3.1-8b-soft-us
39,checkpoints/community-alignment/llama3.1-8b-full-us
40,meta-llama/Llama-3.1-8B
41,meta-llama/Llama-3.1-8B
42,checkpoints/community-alignment/llama3.1-8b-soft-us
43,meta-llama/Llama-3.1-8B
44,checkpoints/community-alignment/llama3.1-8b-full-us
45,checkpoints/community-alignment/llama3.1-8b-full-us
46,checkpoints/community-alignment/llama3.1-8b-full-us
47,meta-llama/Llama-3.1-8B
48,checkpoints/community-alignment/llama3.1-8b-soft-us
49,checkpoints/community-alignment/llama3.1-8b-soft-us
50,checkpoints/community-alignment/llama3.1-8b-full-global
51,checkpoints/community-alignment/llama3.1-8b-soft-us
52,checkpoints/community-alignment/llama3.1-8b-hard-us
53,checkpoints/community-alignment/llama3.1-8b-full-global
54,checkpoints/community-alignment/llama3.1-8b-soft-us
55,checkpoints/community-alignment/llama3.1-8b-soft-us
56,checkpoints/community-alignment/llama3.1-8b-full-us
57,checkpoints/community-alignment/llama3.1-8b-soft-us
58,meta-llama/Llama-3.1-8B
59,meta-llama/Llama-3.1-8B
60,checkpoints/community-alignment/llama3.1-8b-full-global
61,checkpoints/community-alignment/llama3.1-8b-full-us
62,checkpoints/community-alignment/llama3.1-8b-full-us
63,checkpoints/community-alignment/llama3.1-8b-full-us
64,meta-llama/Llama-3.1-8B
65,meta-llama/Llama-3.1-8B
66,meta-llama/Llama-3.1-8B
67,checkpoints/community-alignment/llama3.1-8b-full-us
68,meta-llama/Llama-3.1-8B
69,checkpoints/community-alignment/llama3.1-8b-full-global
70,checkpoints/community-alignment/llama3.1-8b-full-us
71,checkpoints/community-alignment/llama3.1-8b-soft-us
72,checkpoints/community-alignment/llama3.1-8b-full-us
73,meta-llama/Llama-3.1-8B
74,checkpoints/community-alignment/llama3.1-8b-full-global
75,checkpoints/community-alignment/llama3.1-8b-soft-us
