clause_id,model,win_share
1,checkpoints/community-alignment/llama3.1-8b-full-global,0.2495
1,checkpoints/community-alignment/llama3.1-8b-full-us,0.1395
1,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1095
1,checkpoints/community-alignment/llama3.1-8b-soft-en,0.194
1,meta-llama/Llama-3.1-8B,0.3075
2,checkpoints/community-alignment/llama3.1-8b-full-global,0.1855
2,checkpoints/community-alignment/llama3.1-8b-full-us,0.2015
2,checkpoints/community-alignment/llama3.1-8b-hard-en,0.231
2,checkpoints/community-alignment/llama3.1-8b-soft-en,0.216
2,meta-llama/Llama-3.1-8B,0.166
3,checkpoints/community-alignment/llama3.1-8b-full-global,0.1775
3,checkpoints/community-alignment/llama3.1-8b-full-us,0.2215
3,checkpoints/community-alignment/llama3.1-8b-hard-en,0.258
3,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2475
3,meta-llama/Llama-3.1-8B,0.0955
4,checkpoints/community-alignment/llama3.1-8b-full-global,0.228
4,checkpoints/community-alignment/llama3.1-8b-full-us,0.231
4,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2205
4,checkpoints/community-alignment/llama3.1-8b-soft-en,0.165
4,meta-llama/Llama-3.1-8B,0.1555
5,checkpoints/community-alignment/llama3.1-8b-full-global,0.1945
5,checkpoints/community-alignment/llama3.1-8b-full-us,0.256
5,checkpoints/community-alignment/llama3.1-8b-hard-en,0.324
5,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1545
5,meta-llama/Llama-3.1-8B,0.071
6,checkpoints/community-alignment/llama3.1-8b-full-global,0.203
6,checkpoints/community-alignment/llama3.1-8b-full-us,0.207
6,checkpoints/community-alignment/llama3.1-8b-hard-en,0.202
6,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2195
6,meta-llama/Llama-3.1-8B,0.1685
7,checkpoints/community-alignment/llama3.1-8b-full-global,0.233
7,checkpoints/community-alignment/llama3.1-8b-full-us,0.165
7,checkpoints/community-alignment/llama3.1-8b-hard-en,0.0955
7,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2045
7,meta-llama/Llama-3.1-8B,0.302
8,checkpoints/community-alignment/llama3.1-8b-full-global,0.193
8,checkpoints/community-alignment/llama3.1-8b-full-us,0.2265
8,checkpoints/community-alignment/llama3.1-8b-hard-en,0.224
8,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2115
8,meta-llama/Llama-3.1-8B,0.145
9,checkpoints/community-alignment/llama3.1-8b-full-global,0.219
9,checkpoints/community-alignment/llama3.1-8b-full-us,0.1995
9,checkpoints/community-alignment/llama3.1-8b-hard-en,0.229
9,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1625
9,meta-llama/Llama-3.1-8B,0.19
10,checkpoints/community-alignment/llama3.1-8b-full-global,0.2355
10,checkpoints/community-alignment/llama3.1-8b-full-us,0.1915
10,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1675
10,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2225
10,meta-llama/Llama-3.1-8B,0.183
11,checkpoints/community-alignment/llama3.1-8b-full-global,0.1335
11,checkpoints/community-alignment/llama3.1-8b-full-us,0.2025
11,checkpoints/community-alignment/llama3.1-8b-hard-en,0.278
11,checkpoints/community-alignment/llama3.1-8b-soft-en,0.172
11,meta-llama/Llama-3.1-8B,0.214
12,checkpoints/community-alignment/llama3.1-8b-full-global,0.206
12,checkpoints/community-alignment/llama3.1-8b-full-us,0.233
12,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2785
12,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2445
12,meta-llama/Llama-3.1-8B,0.038
13,checkpoints/community-alignment/llama3.1-8b-full-global,0.18
13,checkpoints/community-alignment/llama3.1-8b-full-us,0.2195
13,checkpoints/community-alignment/llama3.1-8b-hard-en,0.1725
13,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2265
13,meta-llama/Llama-3.1-8B,0.2015
14,checkpoints/community-alignment/llama3.1-8b-full-global,0.1625
14,checkpoints/community-alignment/llama3.1-8b-full-us,0.2395
14,checkpoints/community-alignment/llama3.1-8b-hard-en,0.3285
14,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1705
14,meta-llama/Llama-3.1-8B,0.099
15,checkpoints/community-alignment/llama3.1-8b-full-global,0.138
15,checkpoints/community-alignment/llama3.1-8b-full-us,0.2555
15,checkpoints/community-alignment/llama3.1-8b-hard-en,0.328
15,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1785
15,meta-llama/Llama-3.1-8B,0.1
16,checkpoints/community-alignment/llama3.1-8b-full-global,0.19
16,checkpoints/community-alignment/llama3.1-8b-full-us,0.2345
16,checkpoints/community-alignment/llama3.1-8b-hard-en,0.267
16,checkpoints/community-alignment/llama3.1-8b-soft-en,0.2115
16,meta-llama/Llama-3.1-8B,0.097
17,checkpoints/community-alignment/llama3.1-8b-full-global,0.245
17,checkpoints/community-alignment/llama3.1-8b-full-us,0.2415
17,checkpoints/community-alignment/llama3.1-8b-hard-en,0.268
17,checkpoints/community-alignment/llama3.1-8b-soft-en,0.207
17,meta-llama/Llama-3.1-8B,0.0385
18,checkpoints/community-alignment/llama3.1-8b-full-global,0.2155
18,checkpoints/community-alignment/llama3.1-8b-full-us,0.169
18,checkpoints/community-alignment/llama3.1-8b-hard-en,0.193
18,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1965
18,meta-llama/Llama-3.1-8B,0.226
19,checkpoints/community-alignment/llama3.1-8b-full-global,0.16
19,checkpoints/community-alignment/llama3.1-8b-full-us,0.26
19,checkpoints/community-alignment/llama3.1-8b-hard-en,0.3
19,checkpoints/community-alignment/llama3.1-8b-soft-en,0.138
19,meta-llama/Llama-3.1-8B,0.142
20,checkpoints/community-alignment/llama3.1-8b-full-global,0.1615
20,checkpoints/community-alignment/llama3.1-8b-full-us,0.243
20,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2795
20,checkpoints/community-alignment/llama3.1-8b-soft-en,0.149
20,meta-llama/Llama-3.1-8B,0.167
21,checkpoints/community-alignment/llama3.1-8b-full-global,0.2425
21,checkpoints/community-alignment/llama3.1-8b-full-us,0.2495
21,checkpoints/community-alignment/llama3.1-8b-hard-en,0.2475
21,checkpoints/community-alignment/llama3.1-8b-soft-en,0.193
21,meta-llama/Llama-3.1-8B,0.0675
22,checkpoints/community-alignment/llama3.1-8b-full-global,0.232
22,checkpoints/community-alignment/llama3.1-8b-full-us,0.164
22,checkpoints/community-alignment/llama3.1-8b-hard-en,0.132
22,checkpoints/community-alignment/llama3.1-8b-soft-en,0.177
22,meta-llama/Llama-3.1-8B,0.295
23,checkpoints/community-alignment/llama3.1-8b-full-global,0.2055
23,checkpoints/community-alignment/llama3.1-8b-full-us,0.253
23,checkpoints/community-alignment/llama3.1-8b-hard-en,0.291
23,checkpoints/community-alignment/llama3.1-8b-soft-en,0.1995
23,meta-llama/Llama-3.1-8B,0.051
24,checkpoints/community-alignment/llama3.1-8b-full-global,0.2505
24,checkpoints/community-alignment/llama3.1-8b-full-us,0.1405
