clause_id,model,win_share
1,checkpoints/community-alignment/llama3.1-8b-full-us,0.1405
1,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.164
1,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.1875
1,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.196
1,meta-llama/Llama-3.1-8B,0.312
2,checkpoints/community-alignment/llama3.1-8b-full-us,0.187
2,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.231
2,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.202
2,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.216
2,meta-llama/Llama-3.1-8B,0.164
3,checkpoints/community-alignment/llama3.1-8b-full-us,0.2775
3,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.185
3,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2225
3,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1955
3,meta-llama/Llama-3.1-8B,0.1195
4,checkpoints/community-alignment/llama3.1-8b-full-us,0.222
4,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.243
4,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.197
4,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1755
4,meta-llama/Llama-3.1-8B,0.1625
5,checkpoints/community-alignment/llama3.1-8b-full-us,0.266
5,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.2465
5,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.1565
5,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.246
5,meta-llama/Llama-3.1-8B,0.085
6,checkpoints/community-alignment/llama3.1-8b-full-us,0.199
6,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1985
6,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2265
6,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1845
6,meta-llama/Llama-3.1-8B,0.1915
7,checkpoints/community-alignment/llama3.1-8b-full-us,0.1455
7,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1415
7,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.225
7,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1835
7,meta-llama/Llama-3.1-8B,0.3045
8,checkpoints/community-alignment/llama3.1-8b-full-us,0.2465
8,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.237
8,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2065
8,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.171
8,meta-llama/Llama-3.1-8B,0.139
9,checkpoints/community-alignment/llama3.1-8b-full-us,0.2135
9,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1895
9,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.228
9,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.209
9,meta-llama/Llama-3.1-8B,0.16
10,checkpoints/community-alignment/llama3.1-8b-full-us,0.2025
10,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.201
10,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.222
10,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.19
10,meta-llama/Llama-3.1-8B,0.1845
11,checkpoints/community-alignment/llama3.1-8b-full-us,0.181
11,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1685
11,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2835
11,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.168
11,meta-llama/Llama-3.1-8B,0.199
12,checkpoints/community-alignment/llama3.1-8b-full-us,0.2935
12,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.2525
12,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.1625
12,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.238
12,meta-llama/Llama-3.1-8B,0.0535
13,checkpoints/community-alignment/llama3.1-8b-full-us,0.203
13,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.198
13,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.267
13,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.143
13,meta-llama/Llama-3.1-8B,0.189
14,checkpoints/community-alignment/llama3.1-8b-full-us,0.269
14,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.268
14,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.182
14,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1805
14,meta-llama/Llama-3.1-8B,0.1005
15,checkpoints/community-alignment/llama3.1-8b-full-us,0.2755
15,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.246
15,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2115
15,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.1505
15,meta-llama/Llama-3.1-8B,0.1165
16,checkpoints/community-alignment/llama3.1-8b-full-us,0.229
16,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1915
16,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2145
16,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.264
16,meta-llama/Llama-3.1-8B,0.101
17,checkpoints/community-alignment/llama3.1-8b-full-us,0.245
17,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.2305
17,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2575
17,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.2265
17,meta-llama/Llama-3.1-8B,0.0405
18,checkpoints/community-alignment/llama3.1-8b-full-us,0.1715
18,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.2235
18,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.1825
18,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.201
18,meta-llama/Llama-3.1-8B,0.2215
19,checkpoints/community-alignment/llama3.1-8b-full-us,0.276
19,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.217
19,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.2045
19,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.173
19,meta-llama/Llama-3.1-8B,0.1295
20,checkpoints/community-alignment/llama3.1-8b-full-us,0.262
20,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.1855
20,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.195
20,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.152
20,meta-llama/Llama-3.1-8B,0.2055
