clause_id,model,win_share
1,checkpoints/llama3.1-8b-full-prism,0.162
1,checkpoints/llama3.1-8b-hard-panel,0.223
1,checkpoints/llama3.1-8b-soft-panel,0.176
1,checkpoints/llama3.1-8b-soft-panel-clipped,0.15
1,checkpoints/llama3.1-8b-soft-panel-sqrt,0.141
1,checkpoints/llama3.1-8b-soft-panel-square,0.148
2,checkpoints/llama3.1-8b-full-prism,0.174
2,checkpoints/llama3.1-8b-hard-panel,0.22466666666666665
2,checkpoints/llama3.1-8b-soft-panel,0.18666666666666668
2,checkpoints/llama3.1-8b-soft-panel-clipped,0.14233333333333334
2,checkpoints/llama3.1-8b-soft-panel-sqrt,0.11633333333333333
2,checkpoints/llama3.1-8b-soft-panel-square,0.156
3,checkpoints/llama3.1-8b-full-prism,0.11366666666666667
3,checkpoints/llama3.1-8b-hard-panel,0.16833333333333333
3,checkpoints/llama3.1-8b-soft-panel,0.16133333333333333
3,checkpoints/llama3.1-8b-soft-panel-clipped,0.18933333333333333
3,checkpoints/llama3.1-8b-soft-panel-sqrt,0.17566666666666667
3,checkpoints/llama3.1-8b-soft-panel-square,0.19166666666666668
4,checkpoints/llama3.1-8b-full-prism,0.14066666666666666
4,checkpoints/llama3.1-8b-hard-panel,0.18366666666666667
4,checkpoints/llama3.1-8b-soft-panel,0.16733333333333333
4,checkpoints/llama3.1-8b-soft-panel-clipped,0.16733333333333333
4,checkpoints/llama3.1-8b-soft-panel-sqrt,0.15833333333333333
4,checkpoints/llama3.1-8b-soft-panel-square,0.18266666666666667
5,checkpoints/llama3.1-8b-full-prism,0.134
5,checkpoints/llama3.1-8b-hard-panel,0.21933333333333332
5,checkpoints/llama3.1-8b-soft-panel,0.16533333333333333
5,checkpoints/llama3.1-8b-soft-panel-clipped,0.168
5,checkpoints/llama3.1-8b-soft-panel-sqrt,0.16766666666666666
5,checkpoints/llama3.1-8b-soft-panel-square,0.14566666666666667
6,checkpoints/llama3.1-8b-full-prism,0.17833333333333334
6,checkpoints/llama3.1-8b-hard-panel,0.159
6,checkpoints/llama3.1-8b-soft-panel,0.17266666666666666
6,checkpoints/llama3.1-8b-soft-panel-clipped,0.15566666666666668
6,checkpoints/llama3.1-8b-soft-panel-sqrt,0.16866666666666666
6,checkpoints/llama3.1-8b-soft-panel-square,0.16566666666666666
7,checkpoints/llama3.1-8b-full-prism,0.13066666666666665
7,checkpoints/llama3.1-8b-hard-panel,0.23566666666666666
7,checkpoints/llama3.1-8b-soft-panel,0.15866666666666668
7,checkpoints/llama3.1-8b-soft-panel-clipped,0.17433333333333334
7,checkpoints/llama3.1-8b-soft-panel-sqrt,0.133
7,checkpoints/llama3.1-8b-soft-panel-square,0.16766666666666666
8,checkpoints/llama3.1-8b-full-prism,0.10766666666666666
8,checkpoints/llama3.1-8b-hard-panel,0.16466666666666666
8,checkpoints/llama3.1-8b-soft-panel,0.14366666666666666
8,checkpoints/llama3.1-8b-soft-panel-clipped,0.19166666666666668
8,checkpoints/llama3.1-8b-soft-panel-sqrt,0.21133333333333335
8,checkpoints/llama3.1-8b-soft-panel-square,0.181
9,checkpoints/llama3.1-8b-full-prism,0.13133333333333333
9,checkpoints/llama3.1-8b-hard-panel,0.233
9,checkpoints/llama3.1-8b-soft-panel,0.152
9,checkpoints/llama3.1-8b-soft-panel-clipped,0.16866666666666666
9,checkpoints/llama3.1-8b-soft-panel-sqrt,0.156
9,checkpoints/llama3.1-8b-soft-panel-square,0.159
10,checkpoints/llama3.1-8b-full-prism,0.17533333333333334
10,checkpoints/llama3.1-8b-hard-panel,0.188
10,checkpoints/llama3.1-8b-soft-panel,0.14533333333333334
10,checkpoints/llama3.1-8b-soft-panel-clipped,0.15933333333333333
10,checkpoints/llama3.1-8b-soft-panel-sqrt,0.16
10,checkpoints/llama3.1-8b-soft-panel-square,0.172
11,checkpoints/llama3.1-8b-full-prism,0.11766666666666667
11,checkpoints/llama3.1-8b-hard-panel,0.22066666666666668
11,checkpoints/llama3.1-8b-soft-panel,0.13633333333333333
11,checkpoints/llama3.1-8b-soft-panel-clipped,0.15666666666666668
11,checkpoints/llama3.1-8b-soft-panel-sqrt,0.186
11,checkpoints/llama3.1-8b-soft-panel-square,0.18266666666666667
12,checkpoints/llama3.1-8b-full-prism,0.18066666666666667
12,checkpoints/llama3.1-8b-hard-panel,0.20933333333333334
12,checkpoints/llama3.1-8b-soft-panel,0.15866666666666668
