clause_id,model,win_share
1,checkpoints/community-alignment/llama3.1-8b-full-global,0.256
1,checkpoints/community-alignment/llama3.1-8b-full-us,0.1245
1,checkpoints/community-alignment/llama3.1-8b-hard-us,0.15
1,checkpoints/community-alignment/llama3.1-8b-soft-us,0.177
1,meta-llama/Llama-3.1-8B,0.2925
2,checkpoints/community-alignment/llama3.1-8b-full-global,0.1905
2,checkpoints/community-alignment/llama3.1-8b-full-us,0.2045
2,checkpoints/community-alignment/llama3.1-8b-hard-us,0.219
2,checkpoints/community-alignment/llama3.1-8b-soft-us,0.218
2,meta-llama/Llama-3.1-8B,0.168
3,checkpoints/community-alignment/llama3.1-8b-full-global,0.199
3,checkpoints/community-alignment/llama3.1-8b-full-us,0.255
3,checkpoints/community-alignment/llama3.1-8b-hard-us,0.233
3,checkpoints/community-alignment/llama3.1-8b-soft-us,0.191
3,meta-llama/Llama-3.1-8B,0.122
4,checkpoints/community-alignment/llama3.1-8b-full-global,0.2315
4,checkpoints/community-alignment/llama3.1-8b-full-us,0.2255
4,checkpoints/community-alignment/llama3.1-8b-hard-us,0.211
4,checkpoints/community-alignment/llama3.1-8b-soft-us,0.1595
4,meta-llama/Llama-3.1-8B,0.1725
5,checkpoints/community-alignment/llama3.1-8b-full-global,0.221
5,checkpoints/community-alignment/llama3.1-8b-full-us,0.2865
5,checkpoints/community-alignment/llama3.1-8b-hard-us,0.23
5,checkpoints/community-alignment/llama3.1-8b-soft-us,0.171
5,meta-llama/Llama-3.1-8B,0.0915
6,checkpoints/community-alignment/llama3.1-8b-full-global,0.2205
6,checkpoints/community-alignment/llama3.1-8b-full-us,0.185
6,checkpoints/community-alignment/llama3.1-8b-hard-us,0.203
6,checkpoints/community-alignment/llama3.1-8b-soft-us,0.2165
6,meta-llama/Llama-3.1-8B,0.175
7,checkpoints/community-alignment/llama3.1-8b-full-global,0.213
7,checkpoints/community-alignment/llama3.1-8b-full-us,0.1525
7,checkpoints/community-alignment/llama3.1-8b-hard-us,0.151
7,checkpoints/community-alignment/llama3.1-8b-soft-us,0.1925
7,meta-llama/Llama-3.1-8B,0.291
8,checkpoints/community-alignment/llama3.1-8b-full-global,0.2035
8,checkpoints/community-alignment/llama3.1-8b-full-us,0.247
8,checkpoints/community-alignment/llama3.1-8b-hard-us,0.1755
8,checkpoints/community-alignment/llama3.1-8b-soft-us,0.2285
8,meta-llama/Llama-3.1-8B,0.1455
9,checkpoints/community-alignment/llama3.1-8b-full-global,0.2165
9,checkpoints/community-alignment/llama3.1-8b-full-us,0.2105
9,checkpoints/community-alignment/llama3.1-8b-hard-us,0.1965
9,checkpoints/community-alignment/llama3.1-8b-soft-us,0.209
9,meta-llama/Llama-3.1-8B,0.1675
10,checkpoints/community-alignment/llama3.1-8b-full-global,0.2355
10,checkpoints/community-alignment/llama3.1-8b-full-us,0.1885
10,checkpoints/community-alignment/llama3.1-8b-hard-us,0.2035
10,checkpoints/community-alignment/llama3.1-8b-soft-us,0.2085
10,meta-llama/Llama-3.1-8B,0.164
11,checkpoints/community-alignment/llama3.1-8b-full-global,0.1375
11,checkpoints/community-alignment/llama3.1-8b-full-us,0.204
11,checkpoints/community-alignment/llama3.1-8b-hard-us,0.169
11,checkpoints/community-alignment/llama3.1-8b-soft-us,0.2615
11,meta-llama/Llama-3.1-8B,0.228
12,checkpoints/community-alignment/llama3.1-8b-full-global,0.2545
12,checkpoints/community-alignment/llama3.1-8b-full-us,0.272
12,checkpoints/community-alignment/llama3.1-8b-hard-us,0.268
